generation,ttp_hit_ratio,enabled_vulns,ttp_hit_efficiency
0,0.75,4,0.75
1,0.5,3,0.6666666666666666
2,0.75,3,1.0
3,0.75,3,1.0
4,0.25,2,0.5
5,0.25,2,0.5
6,0.25,1,1.0
7,0.25,2,0.5
8,0.5,2,1.0
9,0.5,2,1.0
10,1.0,3,1.3333333333333333
11,1.0,3,1.3333333333333333
12,1.0,3,1.3333333333333333
13,1.0,3,1.3333333333333333
14,1.0,3,1.3333333333333333
15,1.0,3,1.3333333333333333
16,1.0,3,1.3333333333333333
17,1.0,3,1.3333333333333333
18,1.0,3,1.3333333333333333
19,1.0,3,1.3333333333333333
20,1.0,3,1.3333333333333333
21,1.0,3,1.3333333333333333
22,1.0,3,1.3333333333333333
